Dreamfoil,"POINT(3477.04 2104.34)",3,Eastern Plaguelands,
Bruiseweed,"POINT(3999 -5035)",3,Loch Modan Mo'grosh Stronghold,
Gold Vein,"POINT(411 856.808)",3,Alterac Mountains Slaughter Hollow,
Frozen Rune,"POINT(19355.1 -9106.23)",3,Naxxramas,
Tablet of the Seven,"POINT(1851.92 -7826.9)",2,Burning Steppes Ruins of Thaurissan,
Lights,"POINT(-10.4618 -9473.43)",5,Elwynn Forest Goldshire,
Rookery Egg,"POINT(13099 3226.21)",6,Blackrock Spire,
Shallow Grave,"POINT(4903.45 3375.49)",6,Eastern Plaguelands Zul'Mashar,
Arena,"POINT(-62.0445 -13332.6)",5,Stranglethorn Vale Ruins of Jubuwal,
Earthroot,"POINT(-721.967 2527.52)",3,Tirisfal Glades Agamand Mills,
G_Pumpkin_03,"POINT(-204.868 1614.21)",5,Tirisfal Glades Ruins of Lordaeron,
Standing Post - MFF,"POINT(-10022 -4654.59)",5,The Barrens Ratchet,
Earthroot,"POINT(2447.51 -9719.08)",3,Redridge Mountains Lakeridge Highway,
Gold Vein,"POINT(3389 -1986)",3,Arathi Highlands Witherbark Village,
Mithril Deposit,"POINT(95 425.691)",3,Alterac Mountains Ruins of Alterac,
Campfire,"POINT(992.197 -12467.5)",8,Stranglethorn Vale Mosh'Ogg Ogre Mound,
Wooden Chair,"POINT(866.293 -4847.09)",7,Dun Morogh,
G_HangingSkeleton_01,"POINT(-14213.7 2728.51)",5,Darkshore Auberdine,
Pupellyverbos Port,"POINT(4549.83 -457.803)",3,The Hinterlands The Overlook Cliffs,
Campfire,"POINT(840.543 -12430.6)",8,Stranglethorn Vale Mosh'Ogg Ogre Mound,
Tainted Wood,"POINT(-10711.8 -980.99)",3,Ashenvale Satyrnaar,
Silverleaf,"POINT(553.701 -5344.54)",3,Dun Morogh,
Truesilver Deposit,"POINT(2415 -7395)",3,Badlands Camp Cagg,
Iron Deposit,"POINT(675 710.201)",3,Alterac Mountains Crushridge Hold,
Wild Steelbloom,"POINT(3733 -984)",3,Arathi Highlands Drywhisker Gorge,
Arena,"POINT(-301.408 -14238.8)",5,Stranglethorn Vale The Cape of Stranglethorn,
Dinosaur Bone,"POINT(-13048.7 -11554.3)",3,Un'Goro Crater Terror Run,
Hanging Streamer x3 - MFF,"POINT(3239.66 -10500.9)",5,Swamp of Sorrows Stonard,
Standing Exterior Medium - MFF,"POINT(210.201 -11303.3)",5,Stranglethorn Vale Rebel Camp,
Solid Chest,"POINT(2424.15 -7132.2)",3,Badlands Camp Cagg,
Wild Steelbloom,"POINT(697 763.565)",3,Alterac Mountains Crushridge Hold,
Gold Vein,"POINT(1793 -1811)",3,Arathi Highlands,
Campfire,"POINT(-68.455 -11832.1)",8,Stranglethorn Vale Tkashi Ruins,
Silver Vein,"POINT(2398 -2025)",3,Arathi Highlands,
Briarthorn,"POINT(2966.28 -9384.84)",3,Redridge Mountains Stonewatch,
Iron Deposit,"POINT(379.535 -13598.4)",3,Stranglethorn Vale The Crystal Shore,
Khadgar's Whisker,"POINT(-8903.86 -65.3401)",3,Azshara,
Mighty Blaze,"POINT(-9390.31 -1759.39)",8,Orgrimmar,
PVP HOLIDAY HORDE ARATHI,"POINT(-8958.29 -1745.18)",5,Orgrimmar,
Battered Chest,"POINT(-14938.1 6015.68)",3,Teldrassil,
HangingSkullLight01,"POINT(-14193.4 2696.39)",5,Darkshore Auberdine,
Gold Vein,"POINT(3481 -1637)",3,Arathi Highlands Witherbark Village,
Mageroyal,"POINT(-11091 -1721.29)",3,Ashenvale The Dor'Danil Barrow Den,
Briarthorn,"POINT(-1417.02 -9874)",3,Westfall Jangolode Mine,
Mithril Deposit,"POINT(2867 -7094)",3,Badlands Mirage Flats,
Tirisfal Pumpkin,"POINT(-1450.29 2279.18)",3,Tirisfal Glades Solliden Farmstead,
Sungrass,"POINT(15594 -9866.18)",3,Zul'Gurub,
Christmas Tree (Medium),"POINT(-538.055 -8828.45)",5,Stormwind City,
Silver Vein,"POINT(3468 -1412)",3,Arathi Highlands,
Bonfire,"POINT(1938.08 -8234.53)",8,Burning Steppes,
Battered Footlocker,"POINT(1460.08 -590.016)",3,Hillsbrad Foothills Durnholde Keep,
Earthroot,"POINT(-12158.8 -4125.95)",3,The Barrens,
Silverleaf,"POINT(-14031.7 2965.38)",3,Darkshore,
Bruiseweed,"POINT(-11431 -4478)",3,The Barrens,
Iron Deposit,"POINT(634 696.321)",3,Alterac Mountains Crushridge Hold,
Campfire,"POINT(459.056 -13069.3)",8,Stranglethorn Vale,
Bruiseweed,"POINT(-13882.1 -953.44)",3,Ashenvale The Shrine of Aessina,
Duskwood,"POINT(-301.05 -14238.8)",5,Stranglethorn Vale The Cape of Stranglethorn,
Barrel of Milk,"POINT(-582.64 -8826.01)",3,Stormwind City,
Earthroot,"POINT(-11698.9 -5495.75)",3,The Barrens Agama'gor,
Deathknight Wing Eye Portal Boss,"POINT(18362.3 -10171.4)",0,Naxxramas,
Copper Vein,"POINT(2472 -4034)",3,Wetlands Dun Algaz,
Silverleaf,"POINT(-491.922 2317.02)",3,Tirisfal Glades Brill,
HangingSkullLight02,"POINT(-8974.59 -3338.78)",5,Durotar Razor Hill,
Briarthorn,"POINT(-11495 -2103.78)",3,Ashenvale Fallen Sky Lake,
Bat02,"POINT(-11227.7 -9122.05)",5,Thousand Needles Freewind Post,
Kharanos,"POINT(-57.5189 -5910.55)",5,Dun Morogh Coldridge Pass,
Purple Lotus,"POINT(-8428 127.81)",3,Azshara Ruins of Eldarath ,
SkullCandle01,"POINT(-648.778 -8863.21)",5,Stormwind City,
Tin Vein,"POINT(2586.04 -3875.72)",3,Wetlands Thelgen Rock,
Ruined Lifeboat,"POINT(-148 -14656.4)",2,Stranglethorn Vale Wild Shore,
Copper Vein,"POINT(-1391.78 -9836)",3,Westfall Jangolode Mine,
Bat02,"POINT(2948.2 -5375.67)",5,Loch Modan Thelsamar,
Forge,"POINT(435.338 -5579.16)",8,Dun Morogh Kharanos,
Tin Vein,"POINT(1308 -2982)",3,Wetlands Sundown Marsh,
Campfire,"POINT(-8998.9 -3362.33)",8,Durotar Razor Hill,
Red Raptor Nest,"POINT(-10977.2 -5213.44)",10,The Barrens,
Bat01,"POINT(3510.05 -985.585)",5,Arathi Highlands Hammerfall,
The Barrens,"POINT(-9678.81 -3394.8)",5,Durotar,
Silver Vein,"POINT(426 751.471)",3,Alterac Mountains Ruins of Alterac,
Iron Deposit,"POINT(-469.79 -11746.5)",3,Stranglethorn Vale,
Black Lotus,"POINT(2682.91 -7695.95)",3,Burning Steppes Dreadmaul Rock,
Earthroot,"POINT(-12881 -4518)",3,Mulgore The Golden Plains,
Bench,"POINT(5581.04 1604.7)",7,Eastern Plaguelands Tyr's Hand,
Campfire,"POINT(618.078 -12949.7)",8,Stranglethorn Vale Ruins of Zul'Mamwe,
Toasting Goblet,"POINT(-447.704 -14325.1)",3,Stranglethorn Vale Booty Bay,
Grom'gol,"POINT(229.592 -12167.9)",5,Stranglethorn Vale,
Bat01,"POINT(1168.31 -10563.5)",5,Duskwood Darkshire,
Earthroot,"POINT(-10028.5 -2873.03)",3,The Barrens,
Iron Deposit,"POINT(3336 -1714)",3,Arathi Highlands Witherbark Village,
Truesilver Deposit,"POINT(675 710.201)",3,Alterac Mountains Crushridge Hold,
Briarthorn,"POINT(621 -336)",3,Hillsbrad Foothills,
Wooden Chair,"POINT(2111.56 -9168.06)",7,Redridge Mountains Lakeshire,
Khadgar's Whisker,"POINT(-411.074 -13059)",3,Stranglethorn Vale Gurubashi Arena,
Wooden Chair,"POINT(534.297 -5588.41)",7,Dun Morogh Kharanos,
Brazier,"POINT(2178.75 273.661)",8,The Hinterlands Aerie Peak,
Bruiseweed,"POINT(3171 -9139)",3,Redridge Mountains Galardell Valley,
Campfire,"POINT(2758.46 -8356.12)",8,Burning Steppes Morgan's Vigil,
Death Cap,"POINT(-12985.3 3086.05)",3,Darkshore,
Arena,"POINT(536.642 -12205.8)",5,Stranglethorn Vale,
Peacebloom,"POINT(-10185.7 -2582.26)",3,The Barrens,
Forge,"POINT(5322.45 2261.36)",8,Eastern Plaguelands Light's Hope Chapel,
Mithril Deposit,"POINT(3478.77 -7344.53)",3,Badlands,
Vessel of Tainted Blood,"POINT(4017.33 -646.152)",3,The Hinterlands Jintha'Alor,
Pupellyverbos Port,"POINT(4565.21 -139.051)",3,The Hinterlands The Overlook Cliffs,
Silverleaf,"POINT(483.539 -5289.53)",3,Dun Morogh,
Campfire,"POINT(712.732 -12983.3)",8,Stranglethorn Vale Ruins of Zul'Mamwe,
Battered Footlocker,"POINT(1490.33 -487.744)",3,Hillsbrad Foothills Durnholde Keep,
G_Pumpkin_03,"POINT(2957.44 -5361.62)",5,Loch Modan Thelsamar,
Gold Vein,"POINT(3638 -1179)",3,Arathi Highlands Hammerfall,
Inconspicuous Landmark,"POINT(-9721.36 -13834.2)",10,Tanaris Land's End Beach,
Silverleaf,"POINT(-13120 3522.24)",3,Darkshore,
G_Pumpkin_03,"POINT(-201.442 1605.08)",5,Tirisfal Glades Ruins of Lordaeron,
Duskwood,"POINT(535.45 -12205.7)",5,Stranglethorn Vale,
Silverleaf,"POINT(-11442.9 -4000.03)",3,The Barrens Shrine of the Fallen Warrior,
Mageroyal,"POINT(-10612 -877.39)",3,Ashenvale Satyrnaar,
G_HangingSkeleton_01,"POINT(-658.268 -8842.03)",5,Stormwind City,
Sentry Brazier,"POINT(1066.01 -6910.33)",10,Searing Gorge The Cauldron,
Food Crate,"POINT(-14548 6086.65)",3,Teldrassil Dolanaar,
Silverleaf,"POINT(-1896.24 -10516)",3,Westfall Alexston Farmstead,
SkullCandle01,"POINT(-651.415 -8862.2)",5,Stormwind City,
Copper Vein,"POINT(1091.58 -5733.16)",3,Dun Morogh The Tundrid Hills,
Campfire,"POINT(-8150.21 -4933.94)",8,Durotar Echo Isles,
Peacebloom,"POINT(-707.906 2201.21)",3,Tirisfal Glades Stillwater Pond,
Fire,"POINT(-9419.43 -4282.42)",8,Durotar Valley of Trials,
Silverleaf,"POINT(-1818.09 1079.32)",3,Silverpine Forest North Tide's Hollow,
The Old Gods and the Ordering of Azeroth,"POINT(-335.411 1554.01)",9,Tirisfal Glades Ruins of Lordaeron,
,"POINT(1338.7 -7517.62)",8,Burning Steppes Blackrock Stronghold,
Mithril Deposit,"POINT(3811.95 -671.735)",3,The Hinterlands Jintha'Alor,
Booty Bay,"POINT(-67.869 -13338.2)",5,Stranglethorn Vale Gurubashi Arena,
Stone Anvil,"POINT(1508.86 -8096.96)",8,Burning Steppes,
Tower Banner,"POINT(4365.51 3148.17)",10,Eastern Plaguelands Northpass Tower,
Cannonball Stack,"POINT(15347.2 -8504.38)",3,Stratholme,
Silverleaf,"POINT(-8607 -3336.17)",3,Durotar,
Arena,"POINT(-67.9838 -13337.6)",5,Stranglethorn Vale Gurubashi Arena,
Silverleaf,"POINT(-9471 -4359)",3,Durotar Valley of Trials,
Gold Vein,"POINT(3949 -897)",3,Arathi Highlands Drywhisker Gorge,
Silverleaf,"POINT(-10264.6 -3228.76)",3,The Barrens,
Gold Vein,"POINT(3787.54 -6737.73)",3,Badlands Lethlor Ravine,
Mighty Blaze,"POINT(-9515.13 -1788.78)",8,Orgrimmar,
Bruiseweed,"POINT(-12137 -1375.62)",3,Ashenvale Greenpaw Village,
Gold Vein,"POINT(697.682 632.555)",3,Alterac Mountains Crushridge Hold,
Earthroot,"POINT(-1461.21 908.198)",3,Silverpine Forest,
Forge,"POINT(1507.24 -8100.39)",8,Burning Steppes,
Bruiseweed,"POINT(-9978 -5878)",3,The Barrens Northwatch Hold,
Silver Vein,"POINT(203 439.086)",3,Alterac Mountains Ruins of Alterac,
Silver Vein,"POINT(416 732.251)",3,Alterac Mountains Ruins of Alterac,
Duskwood,"POINT(-62.018 -13331.6)",5,Stranglethorn Vale Ruins of Jubuwal,
Bonfire,"POINT(1176.2 -8229.83)",8,Burning Steppes,
Earthroot,"POINT(-12194.1 -4097.87)",3,The Barrens,
Earthroot,"POINT(-1558.5 -10191)",3,Westfall The Molsen Farm,
Food Crate,"POINT(1399.88 -9789.66)",3,Elwynn Forest Ridgepoint Tower,
Dwarven Brazier,"POINT(1279.03 -4931.68)",8,Dun Morogh,
Circle,"POINT(645.852 -5163.2)",5,Dun Morogh,
KelThuzad Door,"POINT(20530.8 -9029.05)",0,Naxxramas,
Silverleaf,"POINT(-11510 -4666)",3,The Barrens Lushwater Oasis,
Mithril Deposit,"POINT(375 919.732)",3,Alterac Mountains Slaughter Hollow,
Grave Moss,"POINT(-11908.9 -7690.3)",3,The Barrens Blackthorn Ridge,
Mithril Deposit,"POINT(-16476.1 -4782.84)",3,Desolace Valley of Spears,
Half-Buried Bottle,"POINT(422.26 -14427.1)",3,Stranglethorn Vale Jaguero Isle,
Copper Vein,"POINT(-581.391 2485.92)",3,Tirisfal Glades,
Bruiseweed,"POINT(1159 -817)",3,Hillsbrad Foothills Nethander Stead,
Silverleaf,"POINT(-13258.6 -4836.79)",3,Mulgore The Golden Plains,
Briarthorn,"POINT(-498.424 -10597.8)",3,Duskwood The Hushed Bank,
Silverleaf,"POINT(459.535 -5235.29)",3,Dun Morogh,
Iron Deposit,"POINT(378.22 525.345)",3,Alterac Mountains Ruins of Alterac,
Bruiseweed,"POINT(-890.401 -69)",3,Silverpine Forest Ambermill,
G_Ghost_01,"POINT(931.762 -23.9271)",5,Hillsbrad Foothills Tarren Mill,
Campfire,"POINT(837.903 -12995.8)",8,Stranglethorn Vale Ruins of Zul'Mamwe,
Gold Vein,"POINT(3219 -1709)",3,Arathi Highlands Witherbark Village,
Mithril Deposit,"POINT(193 466.925)",3,Alterac Mountains Ruins of Alterac,
Silver Vein,"POINT(1713 -2877)",3,Wetlands Saltspray Glen,
Plaguebloom,"POINT(2457.96 2160.22)",3,Western Plaguelands The Weeping Cave,
Mageroyal,"POINT(-9959 -2522.43)",3,The Barrens Boulder Lode Mine,
Essential Components,"POINT(-888.772 -8957.49)",5,Stormwind City,
Blazing Fire,"POINT(-11012.4 -4092.85)",8,The Barrens The Crossroads,
Silverleaf,"POINT(-12143 -3502.88)",3,The Barrens,
Small Thorium Vein,"POINT(-8655.08 1576.66)",3,Winterspring Frostwhisper Gorge,
Gold Vein,"POINT(3371 -2092)",3,Arathi Highlands Witherbark Village,
Bruiseweed,"POINT(-13518 -2376.16)",3,Stonetalon Mountains Windshear Crag,
Bonfire,"POINT(1274.22 -7543.86)",8,Burning Steppes Blackrock Stronghold,
Solid Chest,"POINT(3704.67 2544.61)",3,Eastern Plaguelands The Fungal Vale,
Booty Bay,"POINT(-61.8614 -13332.1)",5,Stranglethorn Vale Ruins of Jubuwal,
Silverleaf,"POINT(-13730.2 -6140.96)",3,Mulgore,
Gold Vein,"POINT(383 525.523)",3,Alterac Mountains Ruins of Alterac,
Battered Chest,"POINT(-12481.6 -6396.83)",3,Mulgore The Rolling Plains,
Bat01,"POINT(-8928.25 -3373.79)",5,Durotar Razor Hill,
Silverleaf,"POINT(-854.863 1997.33)",3,Tirisfal Glades Nightmare Vale,
Bat01,"POINT(-9007.22 3051.81)",5,Winterspring Everlook,
Purple Lotus,"POINT(3969.53 -416.098)",3,The Hinterlands Jintha'Alor,
Mithril Deposit,"POINT(178 629.792)",3,Alterac Mountains Ruins of Alterac,
Wild Steelbloom,"POINT(-10638 -9062)",3,Thousand Needles Windbreak Canyon,
Bonfire,"POINT(-592.207 -11557.2)",8,Stranglethorn Vale Ruins of Zul'Kunda,
Silver Vein,"POINT(3444 -1520)",3,Arathi Highlands Witherbark Village,
G_Pumpkin_03,"POINT(-271.517 1570.89)",5,Tirisfal Glades Ruins of Lordaeron,
Truesilver Deposit,"POINT(2596 -7256)",3,Badlands,
Silverleaf,"POINT(-11529 -4605)",3,The Barrens Lushwater Oasis,
Bat01,"POINT(-11024.3 -4138.35)",5,The Barrens The Crossroads,
Pupellyverbos Port,"POINT(4722.03 202.048)",3,The Hinterlands The Overlook Cliffs,
Bonfire,"POINT(-686.25 -11579.6)",8,Stranglethorn Vale Ruins of Zul'Kunda,
Small Thorium Vein,"POINT(3063.91 -10678)",3,Blasted Lands,
G_Pumpkin_03,"POINT(-13251.4 -929.96)",5,Ashenvale Astranaar,
Bonfire,"POINT(2737.02 -7565.21)",8,Burning Steppes Terror Wing Path,
Truesilver Deposit,"POINT(3700 -713)",3,The Hinterlands Jintha'Alor,
Wooden Chair,"POINT(-10251.7 -6567.87)",7,Dustwallow Marsh North Point Tower,
Earthroot,"POINT(-12759 -5434)",3,Mulgore,
Tirisfal Pumpkin,"POINT(-1347.16 2305.13)",3,Tirisfal Glades Solliden Farmstead,
Silverleaf,"POINT(-8743 -3326.1)",3,Durotar Razor Hill,
Dwarven Brazier,"POINT(1177.98 -4821.71)",8,Dun Morogh,
Goldfury's Hunting Supplies,"POINT(1269.89 -4925.65)",5,Dun Morogh,
G_HangingSkeleton_01,"POINT(-200.055 1560.32)",5,Tirisfal Glades Ruins of Lordaeron,
Fadeleaf,"POINT(2854.83 -10549.8)",3,Swamp of Sorrows,
Copper Vein,"POINT(3162 -3775)",3,Wetlands Mosshide Fen,
Springspindle's Gadgets,"POINT(1252.72 -4811.68)",5,Dun Morogh,
Mithril Deposit,"POINT(606.522 669.802)",3,Alterac Mountains Crushridge Hold,
Earthroot,"POINT(-11960 -4656)",3,The Barrens,
Silverleaf,"POINT(-1784.21 982.138)",3,Silverpine Forest North Tide's Hollow,
Iron Deposit,"POINT(2838 -1684.47)",3,Arathi Highlands,
Earthroot,"POINT(-9977.4 -2735.92)",3,The Barrens,
Silver Vein,"POINT(730 763.297)",3,Alterac Mountains Crushridge Hold,
Wild Steelbloom,"POINT(3108 -817)",3,Arathi Highlands,
HangingSkullLight02,"POINT(-9827.63 -10856.7)",5,Tanaris Gadgetzan,
Bruiseweed,"POINT(-13284 -2170.12)",3,Stonetalon Mountains Windshear Crag,
G_Pumpkin_03,"POINT(3553.24 -922.036)",5,Arathi Highlands Hammerfall,
Campfire,"POINT(-949.12 -11683.2)",8,Stranglethorn Vale Zuuldaia Ruins,
Bat01,"POINT(2155.81 -9272.63)",5,Redridge Mountains Lake Everstill,
Small Thorium Vein,"POINT(3171.3 -10552.4)",3,Swamp of Sorrows Stonard,
Silverleaf,"POINT(-11582 -4618)",3,The Barrens Lushwater Oasis,
Gold Vein,"POINT(1486.5 -10600.2)",3,Duskwood,
Forge,"POINT(1250.14 -4816.34)",8,Dun Morogh,
Khadgar's Whisker,"POINT(-109.495 -12782)",3,Stranglethorn Vale The Cape of Stranglethorn,
Bruiseweed,"POINT(-10653 -9230)",3,Thousand Needles,
Undead Fire,"POINT(-11365.8 -12193.2)",1,Tanaris,
Mageroyal,"POINT(-11932 -3175.6)",3,The Barrens,
Silver Vein,"POINT(1875.59 -3401.54)",3,Wetlands Whelgar's Excavation Site,
Copper Vein,"POINT(770.31 -10486.4)",3,Duskwood Brightwood Grove,
Campfire,"POINT(-641.624 -11688.8)",8,Stranglethorn Vale Ruins of Zul'Kunda,
Khadgar's Whisker,"POINT(2181 -1238)",3,Arathi Highlands Boulder'gor,
Silverleaf,"POINT(-12367 -3112.18)",3,The Barrens The Dry Hills,
School of Deviate Fish,"POINT(-11600.4 -4783.94)",25,The Barrens Lushwater Oasis,
Wooden Chair,"POINT(1013.97 -4955.28)",7,Dun Morogh,
Dwarven Brazier,"POINT(874.989 -4781.68)",8,Dun Morogh,
Gold Vein,"POINT(3152 -7195)",3,Badlands Mirage Flats,
Dwarven Brazier,"POINT(1012.27 -4896.83)",8,Dun Morogh,
Gold Vein,"POINT(3710 -1015)",3,Arathi Highlands Drywhisker Gorge,
Campfire,"POINT(204.227 -11312.1)",8,Stranglethorn Vale Rebel Camp,
Iron Deposit,"POINT(3184.12 -972.981)",3,Arathi Highlands,
Campfire,"POINT(53.9661 -11619.2)",8,Stranglethorn Vale Nesingwary's Expedition,
Blindweed,"POINT(2481.55 -10172.4)",3,Swamp of Sorrows Misty Valley,
Briarthorn,"POINT(1880.83 -9282.73)",3,Redridge Mountains,
G_Pumpkin_03,"POINT(1183.71 -10464.6)",5,Duskwood Darkshire,
Silverleaf,"POINT(-10800 -5609)",3,The Barrens Southern Barrens,
Silverleaf,"POINT(-11404 -4605)",3,The Barrens Lushwater Oasis,
Campfire,"POINT(620.192 -11592.3)",8,Stranglethorn Vale Kurzen's Compound,
Bat01,"POINT(913.064 -26.2882)",5,Hillsbrad Foothills Tarren Mill,
Bruiseweed,"POINT(2601 -8825)",3,Redridge Mountains,
Truesilver Deposit,"POINT(3561 -221)",3,The Hinterlands The Altar of Zul,
Silverleaf,"POINT(-13669 2231.94)",3,Darkshore,
Lights x3,"POINT(-1.87245 -9456.57)",5,Elwynn Forest Goldshire,
Mageroyal,"POINT(-14355.6 -372.59)",3,Ashenvale Lake Falathim,
Peacebloom,"POINT(-9781.78 -3760)",3,Durotar,
SkullCandle01,"POINT(-650.361 -8858.14)",5,Stormwind City,
Bruiseweed,"POINT(-10646 -1968.55)",3,Ashenvale Demon Fall Ridge,
G_Pumpkin_02,"POINT(-9861.19 -10818.5)",5,Tanaris Gadgetzan,
Copper Vein,"POINT(-56.65 2478.94)",3,Tirisfal Glades Brightwater Lake,
,"POINT(1293.11 -7524.32)",8,Burning Steppes Blackrock Stronghold,
Kingsblood,"POINT(-15070.1 -2180.11)",3,Stonetalon Mountains,
Wild Steelbloom,"POINT(-12244.9 -123.41)",3,Ashenvale Nightsong Woods,
Goldthorn,"POINT(2618.83 -1033.84)",3,Arathi Highlands,
Wooden Chair,"POINT(-712.892 -9792.56)",7,Elwynn Forest Forest's Edge,
Patch of Elemental Water,"POINT(-7345.35 319.31)",25,Azshara Bay of Storms,
Campfire,"POINT(573.029 -11936.4)",8,Stranglethorn Vale Venture Co. Base Camp,
Bruiseweed,"POINT(-13213 -3719)",3,Stonetalon Mountains Camp Aparaje,
G_HangingSkeleton_01,"POINT(-673.77 -8855.96)",5,Stormwind City,
Dwarven Brazier,"POINT(1000.83 -4904.64)",8,Dun Morogh,
Bonfire,"POINT(302.026 -13664)",8,Stranglethorn Vale Ruins of Aboraz,
Truesilver Deposit,"POINT(686 787.357)",3,Alterac Mountains Crushridge Hold,
Wild Steelbloom,"POINT(-14067.3 -2535.59)",3,Stonetalon Mountains Windshear Crag,
Battered Footlocker,"POINT(1517.14 -583.034)",3,Hillsbrad Foothills Durnholde Keep,
Silverleaf,"POINT(-10516.5 -3433.98)",3,The Barrens Grol'dom Farm,
Bruiseweed,"POINT(1524 -255)",3,Hillsbrad Foothills Durnholde Keep,
Gold Vein,"POINT(3793 -252)",3,The Hinterlands Jintha'Alor,
The Scourge of Lordaeron,"POINT(15531.8 -10615.7)",9,Scholomance,
Steelfury's Weapon Emporium,"POINT(987.719 -4926.93)",5,Dun Morogh,
Shimmerweed Basket,"POINT(203.387 -5018.09)",3,Dun Morogh Shimmer Ridge,
Plague Fissure,"POINT(19123.4 -9908.7)",6,Naxxramas,
Peacebloom,"POINT(-13579.7 3616.08)",3,Darkshore,
Dwarven Brazier,"POINT(1238.4 -4866.55)",8,Dun Morogh,
Dwarven Brazier,"POINT(1286.23 -4839.75)",8,Dun Morogh,
Silverleaf,"POINT(-11516.1 -4790.87)",3,The Barrens Lushwater Oasis,
G_Pumpkin_03,"POINT(-13334.9 -5960.07)",5,Mulgore Bloodhoof Village,
Dwarven Brazier,"POINT(1305.61 -4824.56)",8,Dun Morogh,
Tin Vein,"POINT(3142.92 -3979.53)",3,Wetlands,
Berryfizz's Potions and Mixed Drinks,"POINT(1247.75 -4845.31)",5,Dun Morogh,
Foulweald Totem Mound,"POINT(-12119.5 -1447.32)",8,Ashenvale Greenpaw Village,
Briarthorn,"POINT(-12258 -3656.98)",3,The Barrens Honor's Stand,
Bat01,"POINT(-9881.76 -10825.3)",5,Tanaris Gadgetzan,
Gold Vein,"POINT(4106 394.262)",3,The Hinterlands,
Earthroot,"POINT(-13048 -6406)",3,Mulgore,
Silverleaf,"POINT(-12597 -6024)",3,Mulgore,
Water Barrel,"POINT(-287.039 -5371.96)",3,Dun Morogh Brewnall Village,
Iron Deposit,"POINT(1969 -1802)",3,Arathi Highlands,
Purple Lotus,"POINT(610.158 -12978.9)",3,Stranglethorn Vale Ruins of Zul'Mamwe,
Things That Go Boom!,"POINT(1282.68 -4844.61)",5,Dun Morogh,
Gold Vein,"POINT(3931.43 -857.528)",3,Arathi Highlands Drywhisker Gorge,
Earthroot,"POINT(-13701.7 802.3)",3,Darkshore Twilight Vale,
Tool Bucket,"POINT(1481.25 2872.28)",3,Western Plaguelands Hearthglen,
Truesilver Deposit,"POINT(535 870.437)",3,Alterac Mountains Slaughter Hollow,
Dwarven Brazier,"POINT(1287.59 -4828.33)",8,Dun Morogh,
Wooden Chair,"POINT(543.721 -5583.18)",7,Dun Morogh Kharanos,
Mistletoe,"POINT(-675.992 -8865.12)",5,Stormwind City,
Cauldron,"POINT(1569.88 -8138.42)",8,Burning Steppes,
Bruiseweed,"POINT(4170 -5302)",3,Loch Modan,
Dwarven Brazier,"POINT(1302 -4847.71)",8,Dun Morogh,
